item,file_in_repository,source_or_support,notes
Main manuscript,"manuscript/main_manuscript.tex; manuscript/main_manuscript.pdf; manuscript/main_manuscript.docx",Strictly revised manuscript files,Public scholarly manuscript package; not a clinical-use document.
Supplementary material,"supplementary/supplementary_material.tex; supplementary/supplementary_material.pdf; supplementary/supplementary_material.docx",Strictly revised supplementary files,Includes supplementary figures and machine-readable table descriptions.
Figure 1,"figures/Figure1.pdf; figures/Figure1.tif",Manuscript figure file,Workflow/framework figure used in the main manuscript.
Figure 2,"figures/Figure2.pdf; figures/Figure2.tif",Manuscript figure file,Feature-selection and retrospective model-behavior support.
Figure 3,"figures/Figure3.pdf; figures/Figure3.tif",Manuscript figure file,Spatial C1Q/SPP1 comparator support.
Figure 4,"figures/Figure4.pdf; figures/Figure4.tif",Manuscript figure file,Proteomic and comparator-gene context support.
Figure 5,"figures/Figure5.pdf; figures/Figure5.tif",Manuscript figure file,Survival traceability and retrospective model-behavior support.
Figure 6,"figures/Figure6.pdf; figures/Figure6.png; figures/Figure6.tif",Manuscript figure file,Selected CosMx macrophage-module and CD8-neighborhood evidence.
Figure 7,"figures/Figure7.pdf; figures/Figure7.tif",Manuscript figure file,External or integrative context figure used in the main manuscript.
Figure 8,figures/Figure8.pdf,Manuscript figure file,Boundary and synthesis figure used in the main manuscript.
Supplementary figures,"figures/FigureS1.pdf; figures/FigureS2.pdf; figures/FigureS3.pdf; figures/FigureS4.pdf; figures/FigureS5.pdf; figures/FigureS6.pdf; figures/FigureS7.pdf; figures/FigureS8.pdf; figures/FigureS9.pdf; figures/FigureS10.pdf",Supplementary figure files,Supplementary visual support for model behavior, spatial/proteomic context, and MR-prioritization sensitivity.
Virtual perturbation support,"figures/virtual_perturbation/FigureY_hotspot_collapse.pdf; figures/virtual_perturbation/FigureS12_mechanism_modules.pdf; figures/virtual_perturbation/*.csv; figures/virtual_perturbation/*.json",Computational scoring-sensitivity outputs,Included as sensitivity evidence only; not experimental perturbation or causal proof.
Machine-readable source-data archive,data/S1_source_data_and_machine_readable_tables.zip,Processed source-data tables used for repository checks,Supports reviewer inspection and traceability; not a complete raw-data-to-figure pipeline.
Evidence-chain map,data/evidence_chain_map.csv,Claim-to-source mapping,Maps major claims to data layer, analysis support, allowed conclusion, and inference boundary.
Source-data integrity script,code/check_source_data.R,Repository integrity check,Verifies the source-data archive exists and writes release/source_data_inventory.csv.
Source-data inventory,release/source_data_inventory.csv,Generated by code/check_source_data.R,Lists files present inside the source-data archive.
Reporting boundary notes,docs/REPORTING_AND_REVIEWER_BOUNDARIES.md,Reviewer-facing inference-boundary document,States what the repository supports and what it does not support.
Data and code availability,docs/DATA_AND_CODE_AVAILABILITY.md,Public availability statement,Clarifies public data sources and code limitations.
Public release checklist,docs/PUBLIC_RELEASE_CHECKLIST.md,Repository release checklist,Tracks remaining public-release actions including GitHub publication and DOI archiving.
